期間,平均每人GNP_原始值,平均每人GNP_年增率(%),平均每人GNP_原始值,平均每人GNP_年增率(%),平均每人GDP_原始值,平均每人GDP_年增率(%),平均每人GDP_原始值,平均每人GDP_年增率(%),平均每人NI_原始值,平均每人NI_年增率(%),平均每人NI_原始值,平均每人NI_年增率(%),平均每人民間消費支出_原始值,平均每人民間消費支出_年增率(%),平均每人民間消費支出_原始值,平均每人民間消費支出_年增率(%)
2008Q2,"140,199",1.39,"4,601",10.20,"138,026",2.92,"4,530",11.88,"119,299",-0.31,"3,915",8.36,"81,548",2.78,"2,676",11.69
2008Q3,"137,717",-6.20,"4,411",-1.10,"135,415",-6.90,"4,337",-1.83,"117,323",-7.18,"3,757",-2.14,"83,306",-0.71,"2,668",4.67
2008Q4,"139,217",-9.70,"4,217",-11.26,"137,041",-9.17,"4,151",-10.75,"117,409",-12.02,"3,556",-13.58,"81,903",-2.37,"2,482",-4.02
2009Q1,"135,797",-6.54,"3,992",-13.29,"130,049",-5.95,"3,823",-12.74,"111,934",-10.58,"3,290",-17.04,"81,082",-3.64,"2,385",-10.54
2009Q2,"133,398",-4.85,"4,022",-12.58,"129,458",-6.21,"3,903",-13.84,"112,100",-6.03,"3,379",-13.69,"79,266",-2.80,"2,391",-10.65
2009Q3,"139,276",1.13,"4,242",-3.83,"136,320",0.67,"4,152",-4.27,"117,790",0.40,"3,587",-4.52,"82,997",-0.37,"2,528",-5.25
2009Q4,"150,280",7.95,"4,645",10.15,"144,986",5.80,"4,481",7.95,"129,430",10.24,"3,999",12.46,"84,823",3.57,"2,622",5.64
2010Q1,"149,607",10.17,"4,679",17.21,"142,672",9.71,"4,462",16.71,"128,776",15.05,"4,028",22.43,"84,155",3.79,"2,631",10.31
2010Q2,"148,308",11.18,"4,643",15.44,"143,693",11.00,"4,499",15.27,"128,351",14.50,"4,018",18.91,"83,286",5.07,"2,607",9.03
2010Q3,"153,319",10.08,"4,794",13.01,"149,808",9.89,"4,683",12.79,"131,350",11.51,"4,107",14.50,"87,137",4.99,"2,724",7.75
2010Q4,"152,965",1.79,"4,974",7.08,"149,460",3.09,"4,859",8.44,"133,448",3.10,"4,338",8.48,"87,868",3.59,"2,858",9.00
2011Q1,"154,647",3.37,"5,240",11.99,"147,770",3.57,"5,007",12.21,"136,723",6.17,"4,632",15.00,"88,588",5.27,"3,001",14.06
2011Q2,"147,170",-0.77,"5,091",9.65,"143,061",-0.44,"4,950",10.02,"128,268",-0.06,"4,437",10.43,"86,633",4.02,"2,997",14.96
2011Q3,"152,979",-0.22,"5,238",9.26,"150,186",0.25,"5,142",9.80,"129,641",-1.30,"4,439",8.08,"90,482",3.84,"3,098",13.73
2011Q4,"153,022",0.04,"5,056",1.65,"150,057",0.40,"4,958",2.04,"130,293",-2.36,"4,304",-0.78,"89,371",1.71,"2,953",3.32
2012Q1,"154,039",-0.39,"5,181",-1.13,"147,856",0.06,"4,973",-0.68,"131,439",-3.86,"4,421",-4.56,"90,572",2.24,"3,047",1.53
2012Q2,"150,090",1.98,"5,059",-0.63,"145,226",1.51,"4,895",-1.11,"128,568",0.23,"4,333",-2.34,"88,632",2.31,"2,988",-0.30
2012Q3,"158,136",3.37,"5,292",1.03,"154,333",2.76,"5,165",0.45,"134,207",3.52,"4,491",1.17,"92,881",2.65,"3,108",0.32
2012Q4,"162,190",5.99,"5,550",9.77,"157,522",4.97,"5,390",8.71,"135,815",4.24,"4,649",8.02,"91,684",2.59,"3,138",6.26
2013Q1,"157,412",2.19,"5,327",2.82,"151,419",2.41,"5,124",3.04,"135,052",2.75,"4,570",3.37,"91,912",1.48,"3,110",2.07
2013Q2,"154,717",3.08,"5,166",2.12,"151,705",4.46,"5,065",3.47,"132,213",2.84,"4,414",1.87,"90,627",2.25,"3,026",1.27
2013Q3,"161,771",2.30,"5,401",2.06,"157,558",2.09,"5,261",1.86,"138,538",3.23,"4,626",3.01,"94,115",1.33,"3,142",1.09
2013Q4,"167,811",3.47,"5,664",2.05,"163,031",3.50,"5,502",2.08,"141,136",3.92,"4,763",2.45,"95,517",4.18,"3,224",2.74
2014Q1,"164,653",4.60,"5,423",1.80,"157,359",3.92,"5,183",1.15,"140,824",4.27,"4,638",1.49,"94,281",2.58,"3,105",-0.16
2014Q2,"161,106",4.13,"5,342",3.41,"157,594",3.88,"5,225",3.16,"137,802",4.23,"4,569",3.51,"93,686",3.38,"3,106",2.64
